Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Platform Additional Memory Scope 3 Emissions,Platform Additional Storage Scope 3 Emissions,Platform Additional GPU Scope 3 Emissions,Platform Additional CPU Scope 3 Emissions,Total Platform Scope 3 Emissions  (kgCO?eq),Instance Hourly Manufacturing Emissions (gCO?eq),Hardware Information on AWS Documentation & Comments
a1.medium,November 2018,1,16,Graviton,2,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.40,0.60,0.80,1.20,0.0,0.0,0.0,0.0,0.5,#NAME?,#NAME?,#NAME?,#NAME?,22.2,0.0,0.0,0.0,1022.2,1.8,AWS Graviton (ARM)
a1.large,November 2018,2,16,Graviton,4,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.80,1.20,1.60,2.40,0.0,0.0,0.0,0.0,1.0,#NAME?,#NAME?,#NAME?,#NAME?,22.2,0.0,0.0,0.0,1022.2,3.7,AWS Graviton (ARM)
a1.xlarge,November 2018,4,16,Graviton,8,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1.60,2.40,3.20,4.80,0.0,0.0,0.0,0.0,2.0,#NAME?,#NAME?,#NAME?,#NAME?,22.2,0.0,0.0,0.0,1022.2,7.4,AWS Graviton (ARM)
a1.2xlarge,November 2018,8,16,Graviton,16,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3.20,4.80,6.40,9.60,0.0,0.0,0.0,0.0,4.0,#NAME?,#NAME?,#NAME?,#NAME?,22.2,0.0,0.0,0.0,1022.2,14.8,AWS Graviton (ARM)
a1.4xlarge,November 2018,16,16,Graviton,32,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.40,9.60,12.80,19.20,0.0,0.0,0.0,0.0,8.0,#NAME?,#NAME?,#NAME?,#NAME?,22.2,0.0,0.0,0.0,1022.2,29.6,AWS Graviton (ARM)
a1.metal,October 2019,16,16,Graviton,32,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.40,9.60,12.80,19.20,0.0,0.0,0.0,0.0,8.0,#NAME?,#NAME?,#NAME?,#NAME?,22.2,0.0,0.0,0.0,1022.2,29.6,AWS Graviton (ARM)
c1.medium,May 2008,2,48,Xeon E5-2651 v2,1.7,42,1 x SSD 350,SSD,4,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.34,0.51,0.68,1.02,0.0,0.0,0.0,0.0,1.6,#NAME?,#NAME?,#NAME?,#NAME?,36.1,400.0,0.0,100.0,1536.1,1.9,
c1.xlarge,May 2008,8,48,Xeon E5-2651 v2,7,42,4 x SSD 420,SSD,4,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1.40,2.10,2.80,4.20,0.0,0.0,0.0,0.0,6.3,#NAME?,#NAME?,#NAME?,#NAME?,36.1,400.0,0.0,100.0,1536.1,7.4,
cr1.8xlarge,January 2013,32,32,Xeon E5-2670,244,244,2 x 120 (SSD),SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,48.80,73.20,97.60,146.40,0.0,0.0,0.0,0.0,46.0,#NAME?,#NAME?,#NAME?,#NAME?,316.2,200.0,0.0,100.0,1616.2,46.8,dual 2.6 GHz Intel Xeon E5-2670 processors
cc2.8xlarge,November 2011,32,32,Xeon E5-2670,60.5,60.5,4 x SSD 840,SSD,4,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,12.10,18.15,24.20,36.30,0.0,0.0,0.0,0.0,46.0,#NAME?,#NAME?,#NAME?,#NAME?,61.7,400.0,0.0,100.0,1561.7,45.2,dual Intel Xeon processors
c3.large,November 2013,2,40,Xeon E5-2680 v2,3.75,60,2 x 16 (SSD),SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.75,1.13,1.50,2.25,0.0,0.0,0.0,0.0,2.3,#NAME?,#NAME?,#NAME?,#NAME?,61.0,200.0,0.0,100.0,1361.0,2.0,2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor
c3.xlarge,November 2013,4,40,Xeon E5-2680 v2,7.5,60,2 x 40 (SSD),SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1.50,2.25,3.00,4.50,0.0,0.0,0.0,0.0,4.6,#NAME?,#NAME?,#NAME?,#NAME?,61.0,200.0,0.0,100.0,1361.0,3.9,2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor
c3.2xlarge,November 2013,8,40,Xeon E5-2680 v2,15,60,2 x 80 (SSD),SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3.00,4.50,6.00,9.00,0.0,0.0,0.0,0.0,9.2,#NAME?,#NAME?,#NAME?,#NAME?,61.0,200.0,0.0,100.0,1361.0,7.9,2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor
c3.4xlarge,November 2013,16,40,Xeon E5-2680 v2,30,60,2 x 160 (SSD),SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.00,9.00,12.00,18.00,0.0,0.0,0.0,0.0,18.4,#NAME?,#NAME?,#NAME?,#NAME?,61.0,200.0,0.0,100.0,1361.0,15.8,2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor
c3.8xlarge,November 2013,32,40,Xeon E5-2680 v2,60,60,2 x 320 (SSD),SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,12.00,18.00,24.00,36.00,0.0,0.0,0.0,0.0,36.8,#NAME?,#NAME?,#NAME?,#NAME?,61.0,200.0,0.0,100.0,1361.0,31.5,2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor
c4.large,January 2015,2,40,Xeon E5-2666 v3,3.75,60,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.75,1.13,1.50,2.25,0.0,0.0,0.0,0.0,2.7,#NAME?,#NAME?,#NAME?,#NAME?,61.0,0.0,0.0,100.0,1161.0,1.7,2.9 GHz Intel Xeon E5-2666 v3 Processor
c4.xlarge,January 2015,4,40,Xeon E5-2666 v3,7.5,60,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1.50,2.25,3.00,4.50,0.0,0.0,0.0,0.0,5.4,#NAME?,#NAME?,#NAME?,#NAME?,61.0,0.0,0.0,100.0,1161.0,3.4,2.9 GHz Intel Xeon E5-2666 v3 Processor
c4.2xlarge,January 2015,8,40,Xeon E5-2666 v3,15,60,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3.00,4.50,6.00,9.00,0.0,0.0,0.0,0.0,10.8,#NAME?,#NAME?,#NAME?,#NAME?,61.0,0.0,0.0,100.0,1161.0,6.7,2.9 GHz Intel Xeon E5-2666 v3 Processor
c4.4xlarge,January 2015,16,40,Xeon E5-2666 v3,30,60,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.00,9.00,12.00,18.00,0.0,0.0,0.0,0.0,21.6,#NAME?,#NAME?,#NAME?,#NAME?,61.0,0.0,0.0,100.0,1161.0,13.4,2.9 GHz Intel Xeon E5-2666 v3 Processor
c4.8xlarge,January 2015,36,40,Xeon E5-2666 v3,60,60,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,12.00,18.00,24.00,36.00,0.0,0.0,0.0,0.0,48.6,#NAME?,#NAME?,#NAME?,#NAME?,61.0,0.0,0.0,100.0,1161.0,30.2,2.9 GHz Intel Xeon E5-2666 v3 Processor
c5.large,November 2016,2,72,Xeon Platinum 8124M,4,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,2.7,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,1.1,Up to 3.5GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
c5.xlarge,November 2016,4,72,Xeon Platinum 8124M,8,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,5.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,2.2,Up to 3.5GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
c5.2xlarge,November 2016,8,72,Xeon Platinum 8124M,16,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,10.7,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,4.3,Up to 3.5GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
c5.4xlarge,November 2016,16,72,Xeon Platinum 8124M,32,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,21.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,8.6,Up to 3.5GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
c5.9xlarge,November 2019,36,72,Xeon Platinum 8124M,72,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,48.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,19.4,Up to 3.5GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
c5.12xlarge,June 2019,48,96,Xeon Platinum 8275CL,96,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,48.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,19.4,Up to 3.9 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake)
c5.18xlarge,November 2019,72,72,Xeon Platinum 8124M,144,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,96.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,38.9,Up to 3.5GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
