Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Type,Platform Storage Drive Quantity,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,Delta Full Machine,Platform Additional Memory Scope 3 Emissions,Platform Additional Storage Scope 3 Emissions,Platform Additional GPU Scope 3 Emissions,Platform Additional CPU Scope 3 Emissions,Total Platform Scope 3 Emissions  (kgCO?eq),Instance Hourly Manufacturing Emissions (gCO?eq)
a1.medium,November 2018,1,16,Graviton,2.0,32.0,EBS,0,0.4,0.6,0.8,1.2,0.5,22.2,0.0,0.0,0.0,1022.2,1.8
a1.large,November 2018,2,16,Graviton,4.0,32.0,EBS,0,0.8,1.2,1.6,2.4,1.0,22.2,0.0,0.0,0.0,1022.2,3.7
a1.xlarge,November 2018,4,16,Graviton,8.0,32.0,EBS,0,1.6,2.4,3.2,4.8,2.0,22.2,0.0,0.0,0.0,1022.2,7.4
a1.2xlarge,November 2018,8,16,Graviton,16.0,32.0,EBS,0,3.2,4.8,6.4,9.6,4.0,22.2,0.0,0.0,0.0,1022.2,14.8
a1.4xlarge,November 2018,16,16,Graviton,32.0,32.0,EBS,0,6.4,9.6,12.8,19.2,8.0,22.2,0.0,0.0,0.0,1022.2,29.6
a1.metal,October 2019,16,16,Graviton,32.0,32.0,EBS,0,6.4,9.6,12.8,19.2,8.0,22.2,0.0,0.0,0.0,1022.2,29.6
c1.medium,May 2008,2,48,Xeon E5-2651 v2,1.7,42.0,SSD,4,0.34,0.51,0.68,1.02,1.6,36.1,400.0,0.0,100.0,1536.1,1.9
c1.xlarge,May 2008,8,48,Xeon E5-2651 v2,7.0,42.0,SSD,4,1.4,2.1,2.8,4.2,6.3,36.1,400.0,0.0,100.0,1536.1,7.4
cr1.8xlarge,January 2013,32,32,Xeon E5-2670,244.0,244.0,SSD,2,48.8,73.2,97.6,146.4,46.0,316.2,200.0,0.0,100.0,1616.2,46.8
cc2.8xlarge,November 2011,32,32,Xeon E5-2670,60.5,60.5,SSD,4,12.1,18.15,24.2,36.3,46.0,61.7,400.0,0.0,100.0,1561.7,45.2
c3.large,November 2013,2,40,Xeon E5-2680 v2,3.75,60.0,SSD,2,0.75,1.13,1.5,2.25,2.3,61.0,200.0,0.0,100.0,1361.0,2.0
c3.xlarge,November 2013,4,40,Xeon E5-2680 v2,7.5,60.0,SSD,2,1.5,2.25,3.0,4.5,4.6,61.0,200.0,0.0,100.0,1361.0,3.9
c3.2xlarge,November 2013,8,40,Xeon E5-2680 v2,15.0,60.0,SSD,2,3.0,4.5,6.0,9.0,9.2,61.0,200.0,0.0,100.0,1361.0,7.9
c3.4xlarge,November 2013,16,40,Xeon E5-2680 v2,30.0,60.0,SSD,2,6.0,9.0,12.0,18.0,18.4,61.0,200.0,0.0,100.0,1361.0,15.8
c3.8xlarge,November 2013,32,40,Xeon E5-2680 v2,60.0,60.0,SSD,2,12.0,18.0,24.0,36.0,36.8,61.0,200.0,0.0,100.0,1361.0,31.5
c4.large,January 2015,2,40,Xeon E5-2666 v3,3.75,60.0,EBS,0,0.75,1.13,1.5,2.25,2.7,61.0,0.0,0.0,100.0,1161.0,1.7
c4.xlarge,January 2015,4,40,Xeon E5-2666 v3,7.5,60.0,EBS,0,1.5,2.25,3.0,4.5,5.4,61.0,0.0,0.0,100.0,1161.0,3.4
c4.2xlarge,January 2015,8,40,Xeon E5-2666 v3,15.0,60.0,EBS,0,3.0,4.5,6.0,9.0,10.8,61.0,0.0,0.0,100.0,1161.0,6.7
c4.4xlarge,January 2015,16,40,Xeon E5-2666 v3,30.0,60.0,EBS,0,6.0,9.0,12.0,18.0,21.6,61.0,0.0,0.0,100.0,1161.0,13.4
c4.8xlarge,January 2015,36,40,Xeon E5-2666 v3,60.0,60.0,EBS,0,12.0,18.0,24.0,36.0,48.6,61.0,0.0,0.0,100.0,1161.0,30.2
c5a.large,June 2020,2,96,EPYC 7R32,4.0,192.0,EBS,0,0.8,1.2,1.6,2.4,1.2,244.1,0.0,0.0,0.0,1244.1,0.7
c5a.xlarge,June 2020,4,96,EPYC 7R32,8.0,192.0,EBS,0,1.6,2.4,3.2,4.8,2.3,244.1,0.0,0.0,0.0,1244.1,1.5
c5a.2xlarge,June 2020,8,96,EPYC 7R32,16.0,192.0,EBS,0,3.2,4.8,6.4,9.6,4.7,244.1,0.0,0.0,0.0,1244.1,3.0
c5a.4xlarge,June 2020,16,96,EPYC 7R32,32.0,192.0,EBS,0,6.4,9.6,12.8,19.2,9.3,244.1,0.0,0.0,0.0,1244.1,6.0
c5a.8xlarge,June 2020,32,96,EPYC 7R32,64.0,192.0,EBS,0,12.8,19.2,25.6,38.4,18.7,244.1,0.0,0.0,0.0,1244.1,12.0
c5a.12xlarge,June 2020,48,96,EPYC 7R32,96.0,192.0,EBS,0,19.2,28.8,38.4,57.6,28.0,244.1,0.0,0.0,0.0,1244.1,18.0
c5a.16xlarge,June 2020,64,96,EPYC 7R32,128.0,192.0,EBS,0,25.6,38.4,51.2,76.8,37.3,244.1,0.0,0.0,0.0,1244.1,24.0
c5a.24xlarge,June 2020,96,96,EPYC 7R32,192.0,192.0,EBS,0,38.4,57.6,76.8,115.2,56.0,244.1,0.0,0.0,0.0,1244.1,36.0
c5ad.large,August 2020,2,96,EPYC 7R32,4.0,192.0,SSD,2,0.8,1.2,1.6,2.4,1.2,244.1,200.0,0.0,0.0,1444.1,0.9
c5ad.xlarge,August 2020,4,96,EPYC 7R32,8.0,192.0,SSD,2,1.6,2.4,3.2,4.8,2.3,244.1,200.0,0.0,0.0,1444.1,1.7
